epoch;cumulative_absolute_percentage_error_kerras_metric;loss;root_mean_squared_error;val_cumulative_absolute_percentage_error_kerras_metric;val_loss;val_root_mean_squared_error
43;0.06942802667617798;160299904.0;12660.9599609375;0.08038443326950073;218036496.0;14766.05859375
44;0.0691991075873375;160157136.0;12655.3203125;0.08383402973413467;228651680.0;15121.232421875
45;0.0683935210108757;156162080.0;12496.482421875;0.08262478560209274;226840736.0;15061.232421875
46;0.06759212166070938;153014752.0;12369.9130859375;0.0820939838886261;216030928.0;14697.990234375
47;0.06633792817592621;147786448.0;12156.7451171875;0.08215901255607605;215288016.0;14672.6962890625
48;0.06703172624111176;151067504.0;12290.9521484375;0.08832079917192459;258142304.0;16066.8076171875
49;0.07160086929798126;184333168.0;13576.935546875;0.08299481123685837;226692208.0;15056.30078125
50;0.0679505318403244;152854080.0;12363.4169921875;0.08040903508663177;210646016.0;14513.6494140625
51;0.06651224195957184;149574992.0;12230.0849609375;0.0888274610042572;252060528.0;15876.4140625
52;0.06672044843435287;149504384.0;12227.1982421875;0.0817241370677948;214692736.0;14652.396484375
53;0.06591346114873886;145187072.0;12049.359375;0.08145365118980408;215020656.0;14663.58203125
54;0.06625979393720627;147852032.0;12159.4423828125;0.08157018572092056;223004752.0;14933.34375
55;0.07039158791303635;169333936.0;13012.837890625;0.0829276293516159;223719968.0;14957.271484375
56;0.06589365005493164;144888192.0;12036.951171875;0.08257758617401123;225798320.0;15026.5869140625
57;0.06587498635053635;145793184.0;12074.484375;0.09098450839519501;272862784.0;16518.55859375
58;0.06779710203409195;153844192.0;12403.39453125;0.08498340100049973;230751248.0;15190.498046875
59;0.06611689180135727;147064480.0;12127.013671875;0.08441955596208572;225650880.0;15021.6796875
60;0.06659430265426636;148995424.0;12206.3681640625;0.08037789911031723;213117872.0;14598.5576171875
61;0.06549667567014694;143318688.0;11971.578125;0.10624152421951294;378953088.0;19466.716796875
62;0.06706131249666214;149978512.0;12246.5712890625;0.08076528459787369;210456448.0;14507.1171875
63;0.06502411514520645;141918544.0;11912.95703125;0.08267010748386383;224092752.0;14969.728515625
64;0.06553754955530167;142376048.0;11932.1435546875;0.08438149839639664;229099280.0;15136.025390625
65;0.06463873386383057;140503216.0;11853.4052734375;0.08907674252986908;258590704.0;16080.755859375
